Day;Time;Temperature;Current;Heater state
07/12/2024;6:25:00;17.00;0.00;OFF
07/12/2024;6:25:45;17.16;0.00;OFF
07/12/2024;6:26:30;16.59;0.00;OFF
07/12/2024;6:27:15;17.08;5.58;ON
07/12/2024;6:28:00;17.16;5.53;ON
07/12/2024;6:28:45;17.08;5.50;ON
07/12/2024;6:29:30;17.16;5.54;ON
07/12/2024;6:30:15;16.91;5.49;ON
07/12/2024;6:31:00;17.48;5.49;ON
07/12/2024;6:31:45;18.20;5.46;ON
07/12/2024;6:32:30;17.88;5.45;ON
07/12/2024;6:33:15;17.64;5.46;ON
07/12/2024;6:34:00;17.56;5.45;ON
07/12/2024;6:34:45;17.96;5.46;ON
07/12/2024;6:35:30;18.20;5.44;ON
07/12/2024;6:36:15;18.04;5.43;ON
07/12/2024;6:37:00;18.04;5.41;ON
07/12/2024;6:37:45;18.20;5.43;ON
07/12/2024;6:38:30;17.96;5.42;ON
07/12/2024;6:39:15;17.96;5.41;ON
07/12/2024;6:40:00;18.45;5.40;ON
07/12/2024;6:40:45;18.45;5.40;ON
07/12/2024;6:41:30;18.45;5.40;ON
07/12/2024;6:42:15;18.45;5.39;ON
07/12/2024;6:43:00;19.01;5.38;ON
07/12/2024;6:43:45;18.69;5.38;ON
07/12/2024;6:44:30;19.25;5.37;ON
07/12/2024;6:45:15;19.33;5.37;ON
07/12/2024;6:46:00;19.49;5.38;ON
07/12/2024;6:46:45;19.17;5.38;ON
07/12/2024;6:47:30;19.81;5.36;ON
07/12/2024;6:48:15;19.33;5.37;ON
07/12/2024;6:49:00;19.41;5.37;ON
07/12/2024;6:49:45;19.73;5.37;ON
07/12/2024;6:50:30;19.65;5.37;ON
07/12/2024;6:51:15;19.65;5.36;ON
07/12/2024;6:52:00;19.65;5.36;ON
07/12/2024;6:52:45;19.57;5.37;ON
07/12/2024;6:53:30;20.22;5.36;ON
07/12/2024;6:54:15;19.81;5.35;ON
07/12/2024;6:55:00;19.90;5.35;ON
07/12/2024;6:55:45;20.38;5.36;ON
07/12/2024;6:56:30;19.98;5.35;ON
07/12/2024;6:57:15;19.98;5.35;ON
07/12/2024;6:58:00;20.78;5.34;ON
07/12/2024;6:58:45;19.90;5.35;ON
07/12/2024;6:59:30;20.62;5.36;ON
07/12/2024;7:00:15;20.22;5.37;ON
07/12/2024;7:01:00;20.54;5.35;ON
07/12/2024;7:01:45;20.22;5.35;ON
07/12/2024;7:02:30;20.30;5.35;ON
07/12/2024;7:03:15;19.81;5.35;ON
07/12/2024;7:04:00;20.78;5.35;ON
07/12/2024;7:04:45;20.62;5.34;ON
07/12/2024;7:05:30;20.78;5.34;ON
07/12/2024;7:06:15;20.86;5.33;ON
07/12/2024;7:07:00;21.02;5.33;ON
07/12/2024;7:07:45;21.02;5.32;ON
07/12/2024;7:08:30;21.27;5.32;ON
07/12/2024;7:09:15;21.02;5.34;ON
07/12/2024;7:10:00;20.94;5.33;ON
07/12/2024;7:10:45;21.02;5.33;ON
07/12/2024;7:11:30;21.02;5.31;ON
07/12/2024;7:12:15;21.18;5.33;ON
07/12/2024;7:13:00;21.27;0.00;OFF
07/12/2024;7:13:45;21.02;0.00;OFF
07/12/2024;7:14:30;21.02;0.00;OFF
07/12/2024;7:15:15;21.10;0.00;OFF
07/12/2024;7:16:00;21.27;0.00;OFF
07/12/2024;7:16:45;21.02;0.00;OFF
07/12/2024;7:17:30;21.02;0.00;OFF
07/12/2024;7:18:15;21.02;0.00;OFF
07/12/2024;7:19:00;20.86;0.00;OFF
07/12/2024;7:19:45;20.86;0.00;OFF
07/12/2024;7:20:30;21.02;0.00;OFF
07/12/2024;7:21:15;20.86;0.00;OFF
07/12/2024;7:22:00;20.62;0.00;OFF
07/12/2024;7:22:45;20.54;0.00;OFF
07/12/2024;7:23:30;20.86;0.00;OFF
07/12/2024;7:24:15;20.14;0.00;OFF
07/12/2024;7:25:00;20.30;0.00;OFF
07/12/2024;7:25:45;20.62;0.00;OFF
07/12/2024;7:26:30;20.14;0.00;OFF
07/12/2024;7:27:15;20.62;0.00;OFF
07/12/2024;7:28:00;20.38;0.00;OFF
07/12/2024;7:28:45;20.38;0.00;OFF
07/12/2024;7:29:30;20.46;0.00;OFF
07/12/2024;7:30:15;20.54;0.00;OFF
07/12/2024;7:31:00;19.98;0.00;OFF
07/12/2024;7:31:45;19.90;0.00;OFF
07/12/2024;7:32:30;20.14;0.00;OFF
07/12/2024;7:33:15;20.30;0.00;OFF
07/12/2024;7:34:00;19.90;0.00;OFF
07/12/2024;7:34:45;19.49;0.00;OFF
07/12/2024;7:35:30;20.06;0.00;OFF
07/12/2024;7:36:15;19.81;0.00;OFF
07/12/2024;7:37:00;19.90;0.00;OFF
07/12/2024;7:37:45;19.73;0.00;OFF
07/12/2024;7:38:30;19.90;0.00;OFF
07/12/2024;7:39:15;20.22;0.00;OFF
07/12/2024;7:40:00;19.81;0.00;OFF
07/12/2024;7:40:45;19.73;0.00;OFF
07/12/2024;7:41:30;19.81;0.00;OFF
08/12/2024;6:25:45;16.59;0.00;OFF
08/12/2024;6:26:30;16.27;5.66;ON
08/12/2024;6:27:15;16.19;5.58;ON
08/12/2024;6:28:00;15.95;5.54;ON
08/12/2024;6:28:45;16.03;5.52;ON
08/12/2024;6:29:30;15.87;5.51;ON
08/12/2024;6:30:15;15.95;5.50;ON
08/12/2024;6:31:00;16.27;5.49;ON
08/12/2024;6:31:45;16.43;5.49;ON
08/12/2024;6:32:30;16.43;5.49;ON
08/12/2024;6:33:15;16.59;5.47;ON
08/12/2024;6:34:00;16.43;5.46;ON
08/12/2024;6:34:45;17.16;5.48;ON
08/12/2024;6:35:30;16.59;5.46;ON
08/12/2024;6:36:15;16.75;5.45;ON
08/12/2024;6:37:00;16.59;5.43;ON
08/12/2024;6:37:45;16.91;5.45;ON
08/12/2024;6:38:30;17.16;5.44;ON
08/12/2024;6:39:15;16.43;5.45;ON
08/12/2024;6:40:00;16.91;5.44;ON
08/12/2024;6:40:45;16.67;5.43;ON
08/12/2024;6:41:30;17.24;5.42;ON
08/12/2024;6:42:15;16.75;5.41;ON
08/12/2024;6:43:00;17.16;5.43;ON
08/12/2024;6:43:45;17.72;5.42;ON
08/12/2024;6:44:30;17.32;5.43;ON
08/12/2024;6:45:15;17.08;5.42;ON
08/12/2024;6:46:00;17.24;5.40;ON
08/12/2024;6:46:45;17.16;5.41;ON
08/12/2024;6:47:30;17.16;5.43;ON
08/12/2024;6:48:15;17.32;5.42;ON
08/12/2024;6:49:00;17.64;5.42;ON
08/12/2024;6:49:45;17.16;5.41;ON
08/12/2024;6:50:30;17.24;5.41;ON
08/12/2024;6:51:15;17.16;5.41;ON
08/12/2024;6:52:00;17.40;5.42;ON
08/12/2024;6:52:45;17.64;5.42;ON
08/12/2024;6:53:30;17.64;5.46;ON
08/12/2024;6:54:15;18.12;5.46;ON
08/12/2024;6:55:00;17.48;5.46;ON
08/12/2024;6:55:45;18.20;5.46;ON
08/12/2024;6:56:30;18.04;5.45;ON
08/12/2024;6:57:15;17.64;5.44;ON
08/12/2024;6:58:00;17.72;5.44;ON
08/12/2024;6:58:45;17.96;5.44;ON
08/12/2024;6:59:30;17.72;5.44;ON
08/12/2024;7:00:15;18.45;5.44;ON
08/12/2024;7:01:00;17.96;5.42;ON
08/12/2024;7:01:45;17.88;5.42;ON
08/12/2024;7:02:30;18.45;5.43;ON
08/12/2024;7:03:15;18.36;5.42;ON
08/12/2024;7:04:00;18.45;5.42;ON
08/12/2024;7:04:45;18.20;5.43;ON
08/12/2024;7:05:30;18.12;5.42;ON
08/12/2024;7:06:15;18.36;5.42;ON
08/12/2024;7:07:00;18.45;5.42;ON
08/12/2024;7:07:45;18.36;5.42;ON
08/12/2024;7:08:30;18.45;5.43;ON
08/12/2024;7:09:15;18.36;5.42;ON
08/12/2024;7:10:00;18.45;5.42;ON
08/12/2024;7:10:45;18.45;5.41;ON
08/12/2024;7:11:30;18.53;5.42;ON
08/12/2024;7:12:15;18.61;5.41;ON
08/12/2024;7:13:00;18.45;5.41;ON
08/12/2024;7:13:45;18.53;5.42;ON
08/12/2024;7:14:30;18.61;5.41;ON
08/12/2024;7:15:15;18.45;5.42;ON
08/12/2024;7:16:00;18.93;5.40;ON
08/12/2024;7:16:45;19.01;5.40;ON
08/12/2024;7:17:30;18.36;5.41;ON
08/12/2024;7:18:15;18.93;5.39;ON
08/12/2024;7:19:00;18.77;5.39;ON
08/12/2024;7:19:45;18.69;5.40;ON
08/12/2024;7:20:30;19.49;5.39;ON
08/12/2024;7:21:15;19.49;5.40;ON
08/12/2024;7:22:00;19.90;5.40;ON
08/12/2024;7:22:45;19.90;0.12;OFF
08/12/2024;7:23:30;19.90;0.11;OFF
08/12/2024;7:24:15;20.06;0.34;OFF
08/12/2024;7:25:00;19.98;0.00;OFF
08/12/2024;7:25:45;19.25;0.00;OFF
08/12/2024;7:26:30;20.14;0.00;OFF
08/12/2024;7:27:15;19.73;0.00;OFF
08/12/2024;7:28:00;20.46;0.00;OFF
08/12/2024;7:28:45;19.98;0.00;OFF
08/12/2024;7:29:30;19.65;0.00;OFF
08/12/2024;7:30:15;20.06;0.41;OFF
08/12/2024;7:31:00;20.30;0.37;OFF
08/12/2024;7:31:45;20.06;0.36;OFF
08/12/2024;7:32:30;20.06;0.33;OFF
08/12/2024;7:33:15;19.98;0.34;OFF
08/12/2024;7:34:00;19.98;0.34;OFF
08/12/2024;7:34:45;19.73;0.36;OFF
08/12/2024;7:35:30;19.49;0.36;OFF
08/12/2024;7:36:15;19.65;0.36;OFF
08/12/2024;7:37:00;19.98;0.37;OFF
08/12/2024;7:37:45;19.25;0.38;OFF
08/12/2024;7:38:30;19.65;0.38;OFF
08/12/2024;7:39:15;19.65;0.39;OFF
08/12/2024;7:40:00;19.57;0.39;OFF
08/12/2024;7:40:45;19.33;0.41;OFF
08/12/2024;7:41:30;19.41;0.41;OFF
08/12/2024;7:42:15;19.33;0.32;OFF
08/12/2024;7:43:00;19.33;0.00;OFF
08/12/2024;7:43:45;19.01;0.00;OFF
08/12/2024;7:44:30;19.33;0.00;OFF
08/12/2024;7:45:15;19.25;0.00;OFF
08/12/2024;7:46:00;19.49;0.00;OFF
08/12/2024;7:46:45;19.09;0.00;OFF
08/12/2024;7:47:30;19.41;0.15;OFF
08/12/2024;7:48:15;18.85;0.16;OFF
08/12/2024;7:49:00;19.01;0.16;OFF
08/12/2024;7:49:45;18.93;0.16;OFF
08/12/2024;7:50:30;19.17;0.16;OFF
08/12/2024;7:51:15;19.25;0.16;OFF
08/12/2024;7:52:00;18.85;0.16;OFF
08/12/2024;7:52:45;19.25;0.16;OFF
08/12/2024;7:53:30;19.01;0.16;OFF
08/12/2024;7:54:15;18.85;0.00;OFF
